drawdate,ball1,ball2,ball3,ball4,ball5,megaball,megaplier,jackpot_estimated,jackpot_winner
01/12/2024,19 , 34 , 35 , 45 , 67,7,3,187000000.0,N
01/09/2024,12 , 15 , 32 , 33 , 53,24,3,165000000.0,N
01/05/2024,5 , 23 , 26 , 38 , 44,25,3,140000000.0,N
01/02/2024,3 , 18 , 27 , 29 , 64,1,2,114000000.0,N
12/29/2023,11 , 27 , 30 , 62 , 70,10,3,92000000.0,N
12/26/2023,8 , 10 , 22 , 58 , 64,21,3,73000000.0,N
12/22/2023,10 , 26 , 36 , 54 , 69,4,4,57000000.0,N
12/19/2023,17 , 26 , 50 , 58 , 61,11,3,41000000.0,N
12/15/2023,10 , 20 , 28 , 40 , 54,12,2,28000000.0,N
12/12/2023,8 , 23 , 44 , 45 , 53,3,4,20000000.0,N
12/08/2023,21 , 26 , 53 , 66 , 70,13,3,395000000.0,Y
12/05/2023,18 , 35 , 40 , 64 , 67,18,4,377000000.0,N
12/01/2023,12 , 47 , 49 , 52 , 65,12,4,355000000.0,N
11/28/2023,27 , 37 , 42 , 59 , 61,11,3,335000000.0,N
11/24/2023,6 , 15 , 45 , 59 , 68,1,4,308000000.0,N
11/21/2023,17 , 22 , 25 , 30 , 38,24,4,289000000.0,N
11/17/2023,6 , 12 , 31 , 33 , 69,17,3,267000000.0,N
11/14/2023,29 , 35 , 59 , 61 , 69,22,4,245000000.0,N
11/10/2023,13 , 33 , 59 , 68 , 70,8,3,223000000.0,N
11/07/2023,3 , 11 , 33 , 42 , 52,20,2,196000000.0,N
11/03/2023,15 , 32 , 38 , 47 , 65,12,4,181000000.0,N
10/31/2023,14 , 35 , 37 , 55 , 70,15,3,159000000.0,N
10/27/2023,11 , 32 , 43 , 57 , 70,6,4,137000000.0,N
10/24/2023,16 , 20 , 30 , 54 , 59,7,3,114000000.0,N
10/20/2023,7 , 29 , 36 , 49 , 61,22,4,91000000.0,N
10/17/2023,5 , 6 , 29 , 32 , 61,20,4,69000000.0,N
10/13/2023,6 , 18 , 44 , 46 , 68,18,3,48000000.0,N
10/10/2023,3 , 8 , 17 , 46 , 63,7,4,20000000.0,N
10/06/2023,12 , 24 , 46 , 57 , 66,22,3,360000000.0,Y
10/03/2023,3 , 19 , 32 , 39 , 59,24,3,315000000.0,N
09/29/2023,18 , 40 , 47 , 55 , 64,11,4,267000000.0,N
09/26/2023,15 , 30 , 35 , 42 , 60,16,4,230000000.0,N
09/22/2023,10 , 13 , 14 , 57 , 66,3,2,205000000.0,N
09/19/2023,6 , 9 , 13 , 29 , 66,24,2,183000000.0,N
09/15/2023,5 , 13 , 29 , 50 , 53,25,3,162000000.0,N
09/12/2023,2 , 14 , 21 , 42 , 67,18,5,141000000.0,N
09/08/2023,3 , 12 , 17 , 51 , 62,1,3,122000000.0,N
09/05/2023,3 , 43 , 50 , 51 , 65,13,2,101000000.0,N
09/01/2023,10 , 31 , 42 , 43 , 55,8,2,85000000.0,N
08/29/2023,9 , 39 , 52 , 61 , 63,25,3,67000000.0,N
08/25/2023,12 , 23 , 26 , 31 , 38,2,2,52000000.0,N
08/22/2023,1 , 12 , 26 , 36 , 50,7,2,33000000.0,N
08/18/2023,10 , 20 , 29 , 44 , 66,11,3,20000000.0,N
08/15/2023,18 , 39 , 42 , 57 , 63,7,3,36000000.0,Y
08/11/2023,8 , 9 , 18 , 35 , 41,18,3,20000000.0,N
08/08/2023,13 , 19 , 20 , 32 , 33,14,2,1580000000.0,Y
08/04/2023,11 , 30 , 45 , 52 , 56,20,2,1350000000.0,N
08/01/2023,8 , 24 , 30 , 45 , 61,12,4,1100000000.0,N
07/28/2023,5 , 10 , 28 , 52 , 63,18,5,940000000.0,N
07/25/2023,3 , 5 , 6 , 44 , 61,25,4,820000000.0,N
07/21/2023,29 , 40 , 47 , 50 , 57,25,2,720000000.0,N
07/18/2023,19 , 22 , 31 , 37 , 54,18,4,640000000.0,N
07/14/2023,10 , 24 , 48 , 51 , 66,15,2,560000000.0,N
07/11/2023,10 , 17 , 33 , 51 , 64,5,2,500000000.0,N
07/07/2023,8 , 10 , 17 , 55 , 66,3,3,450000000.0,N
07/04/2023,21 , 33 , 54 , 61 , 67,12,3,400000000.0,N
06/30/2023,13 , 22 , 47 , 51 , 55,9,3,368000000.0,N
